1 200000	60000	60000	50000	60000	50000	6
2 300000	50000	60000	60000	60000	60000	6
3 300000	70000	60000	60000	50000	50000	7
4 200000	60000	60000	70000	60000	60000	8
5 300000	50000	50000	60000	60000	50000	6
6 300000	60000	50000	60000	60000	60000	8
7 300000	50000	70000	60000	60000	60000	7
8 300000	50000	60000	60000	50000	50000	7
9 300000	60000	60000	60000	60000	60000	8
10 200000	50000	60000	50000	70000	50000	8
11 200000	60000	50000	50000	60000	50000	6
12 300000	60000	60000	50000	50000	60000	7
13 200000	50000	60000	60000	60000	60000	6
14 300000	60000	60000	60000	60000	50000	6
15 300000	50000	50000	50000	50000	60000	8
